genetic,exercise,smoking,alcohol,lifespan,sugar,BMI
65.2,3.6,13.1,3.9,61.8,7.3,30.6
92.8,3.8,4.7,0.5,92.0,5.8,36.2
76.1,2.4,0.4,0.5,77.7,3.2,20.9
72.3,1.7,0.1,4.9,71.6,5.0,34.4
80.0,1.9,19.6,0.8,75.2,6.6,23.0
79.0,4.3,9.3,3.6,78.8,2.3,20.8
81.2,1.5,18.2,0.5,74.8,6.4,41.5
77.3,0.3,10.3,0.5,73.3,6.3,27.8
70.2,3.9,7.7,5.2,68.5,1.9,26.6
83.4,2.5,16.2,0.2,81.6,7.5,26.2
82.7,1.7,2.6,4.2,82.1,8.0,26.3
80.7,4.0,10.2,0.3,80.1,2.0,37.0
80.0,3.8,0.9,3.8,81.6,2.7,24.0
81.4,1.6,11.6,0.4,79.1,8.4,16.6
77.6,2.3,3.9,2.8,76.8,5.1,25.0
90.5,4.1,20.0,0.9,86.7,5.1,19.5
78.3,3.2,21.6,1.1,76.1,2.0,19.3
69.3,1.6,4.4,0.6,68.0,7.6,27.0
89.8,1.1,16.0,4.6,83.0,3.6,40.4
78.9,1.0,18.4,2.3,75.5,6.8,15.0
87.1,0.6,9.8,1.1,83.0,5.0,23.7
88.4,1.6,0.1,0.4,89.1,2.3,29.8
71.5,1.8,7.4,1.1,71.4,3.8,26.4
83.0,2.8,0.1,4.5,81.3,5.2,44.5
88.5,2.7,14.5,0.6,85.6,3.9,42.7
79.5,1.7,20.4,4.8,74.0,9.1,21.1
86.6,0.6,13.4,1.0,84.3,12.1,26.0
85.3,1.9,10.1,0.7,84.1,7.0,22.9
94.3,2.0,10.6,0.7,92.1,1.4,32.8
84.5,1.3,0.3,6.0,83.0,3.6,43.2
70.2,1.3,0.9,5.7,69.8,7.0,21.9
86.6,4.0,1.8,0.5,87.3,8.4,42.7
65.3,2.4,0.8,5.1,64.3,5.6,18.5
87.9,0.6,21.0,1.0,81.1,13.1,28.3
95.7,1.3,18.4,3.4,90.8,4.6,28.8
75.7,2.9,0.0,3.3,77.7,3.8,20.8
82.7,5.2,8.2,1.8,83.7,1.8,14.5
87.7,4.0,5.4,5.3,86.2,3.4,25.4
81.9,2.1,20.2,5.3,76.8,3.5,29.7
91.8,3.5,10.8,0.4,91.3,5.0,39.2
99.7,1.7,10.1,0.5,98.2,8.0,31.6
85.4,1.2,18.2,0.5,79.1,5.2,40.4
78.4,1.1,4.7,3.1,76.9,6.2,18.1
88.3,0.5,0.6,0.7,86.5,6.4,41.3
68.2,4.3,3.1,1.4,70.3,6.8,14.0
82.8,2.1,21.3,1.8,77.5,8.0,37.3
90.2,2.4,18.9,0.2,82.2,6.4,39.0
78.0,2.0,1.6,0.8,78.5,3.2,21.0
91.0,0.8,0.3,4.1,90.1,5.0,31.4
80.5,1.6,10.3,4.8,77.1,6.4,18.2
82.0,2.8,4.3,1.9,82.2,5.0,22.6
83.6,5.3,4.7,1.8,83.5,7.1,16.8
78.5,3.7,20.4,1.4,73.3,6.2,20.7
71.2,1.8,0.1,2.1,70.6,8.4,33.5
84.7,1.6,18.5,2.6,79.6,8.3,18.3
80.8,2.4,19.7,3.0,78.2,3.7,35.9
67.4,4.2,18.7,0.3,63.4,5.5,21.3
83.1,0.9,0.4,3.8,82.1,4.5,32.9
83.1,1.6,6.0,5.0,80.8,9.8,21.2
75.1,3.4,19.3,5.9,69.8,9.8,36.5
85.8,4.2,15.2,0.7,85.3,3.4,29.5
74.8,1.5,17.9,0.8,69.8,5.7,17.3
70.8,2.6,0.4,3.5,70.5,9.1,23.3
85.0,0.8,5.4,2.2,82.8,7.1,15.0
74.7,0.1,4.1,4.3,71.7,8.0,24.2
76.7,2.4,4.8,0.5,76.9,5.6,20.4
85.6,1.8,6.3,2.9,84.3,5.5,36.3
81.9,2.1,18.8,1.3,77.5,5.4,29.2
83.3,1.6,4.0,0.3,82.3,9.3,19.7
89.6,3.0,21.8,1.8,83.1,9.4,49.2
86.3,5.0,14.6,1.1,85.3,4.7,37.3
80.8,5.2,21.0,0.7,74.9,5.5,36.8
79.5,3.4,8.2,0.4,79.9,7.4,38.8
78.8,0.8,17.5,5.2,72.0,5.2,32.9
95.9,2.2,7.3,0.4,94.6,8.6,28.1
76.6,3.7,12.8,0.5,74.9,8.8,40.4
101.9,4.6,7.9,4.4,102.6,5.1,25.2
88.6,1.4,13.5,0.4,84.1,10.0,29.5
91.5,1.1,4.4,0.4,90.3,6.3,31.7
96.1,1.6,0.3,0.6,97.1,12.1,18.6
80.8,1.5,0.2,0.4,80.9,9.6,17.6
86.6,1.2,13.5,5.0,79.4,9.6,33.8
64.1,2.3,14.6,4.7,60.0,11.0,36.2
85.9,1.2,0.3,0.2,85.5,9.5,29.6
84.9,1.7,9.7,4.4,81.9,9.4,19.8
80.7,0.8,0.6,0.3,80.7,6.6,19.0
66.9,2.3,2.2,0.5,67.2,3.1,29.6
85.6,1.8,7.8,1.2,85.3,3.7,15.6
83.6,0.8,1.5,3.0,83.1,7.9,18.8
83.7,1.9,1.5,5.0,82.7,9.6,22.2
75.7,2.0,6.5,1.3,72.2,9.0,42.5
84.9,2.4,10.7,4.2,83.2,9.1,21.1
77.6,2.1,10.2,2.2,74.6,5.6,26.2
84.0,1.7,13.9,1.3,78.9,4.7,24.1
69.2,2.1,10.4,0.1,65.7,4.1,39.7
73.6,0.6,5.0,3.9,70.9,10.1,33.3
82.8,0.5,11.2,3.9,78.7,9.4,22.9
77.6,1.2,15.9,1.6,72.7,4.1,27.0
67.9,4.4,0.1,0.5,72.8,2.6,20.0
87.6,3.4,13.3,3.7,85.4,5.5,26.6
91.9,1.3,5.6,4.0,90.5,9.0,30.7
80.2,2.1,8.6,5.2,74.9,9.5,42.1
80.8,2.5,10.4,1.0,80.2,8.6,28.5
77.7,2.5,9.7,3.3,75.2,9.7,21.6
80.6,1.5,21.1,2.4,75.0,9.4,24.6
73.9,1.3,11.9,5.2,71.0,7.8,16.2
75.7,2.2,7.1,1.3,73.7,4.1,30.8
79.9,2.7,9.5,0.4,78.7,5.2,21.9
78.4,1.7,7.6,1.9,75.9,5.3,34.7
82.9,1.9,4.5,1.2,81.4,5.8,30.4
78.2,1.9,8.1,2.1,76.2,2.9,13.5
93.7,2.9,6.8,0.1,93.7,6.7,34.0
88.2,1.0,0.1,2.3,88.1,4.6,24.7
64.8,3.3,19.9,3.5,60.8,1.8,29.1
72.7,2.1,17.1,1.2,70.2,8.0,20.8
83.7,2.3,3.2,0.6,83.7,3.7,29.1
83.3,0.6,5.8,0.7,81.5,6.1,28.0
78.1,2.5,21.5,1.4,73.0,6.6,26.9
74.8,3.8,15.6,5.6,70.3,7.8,34.4
98.4,1.2,0.3,4.4,97.2,6.7,18.8
92.4,3.7,20.6,2.1,88.4,7.8,31.8
83.9,0.7,0.7,2.6,82.9,8.8,16.6
70.9,1.9,1.0,4.1,71.4,2.1,24.5
74.6,3.5,2.4,2.7,74.8,9.3,26.1
78.4,1.8,0.2,0.5,79.0,5.0,33.4
85.6,2.4,0.3,0.9,86.0,7.3,28.0
94.2,1.8,1.0,0.6,94.9,8.7,18.5
64.3,0.6,6.9,0.7,62.9,1.2,32.0
75.7,2.0,20.9,4.5,69.5,10.1,25.0
93.5,2.3,1.5,5.9,92.9,4.6,29.8
84.2,1.1,16.6,0.7,77.1,4.6,42.1
73.1,4.4,13.0,0.3,72.8,12.0,19.8
81.3,3.1,13.8,4.7,76.5,8.7,29.9
72.3,2.5,21.0,4.8,68.3,10.2,26.5
95.9,1.8,9.7,0.3,94.1,8.9,24.7
80.0,2.2,19.9,1.7,75.3,5.4,31.7
74.0,1.8,12.7,0.2,71.2,11.0,33.6
83.3,1.0,1.1,1.2,83.4,1.9,21.4
88.4,1.3,16.2,1.3,84.6,6.5,28.4
72.0,2.1,15.6,5.1,68.1,5.1,30.5
77.9,2.8,6.3,5.7,76.1,7.8,18.7
75.8,0.4,0.6,1.0,75.1,5.3,27.4
86.2,3.0,0.1,5.1,86.1,9.8,23.4
85.8,1.4,0.2,1.0,86.6,6.1,17.4
75.7,3.3,11.9,4.3,72.9,7.2,32.2
82.8,2.0,0.3,4.3,83.1,3.6,23.1
87.1,2.9,2.1,2.0,88.4,3.6,20.7
89.1,3.1,5.2,1.0,89.7,5.3,26.1
82.2,2.6,12.8,0.2,79.7,6.1,34.0
77.5,1.6,5.6,2.1,76.1,8.0,33.1
92.5,1.1,4.0,1.1,91.1,9.2,21.2
91.4,1.5,0.2,5.7,90.8,4.0,17.5
84.6,2.0,7.4,2.0,83.5,5.4,22.8
76.3,1.8,13.3,2.6,72.9,4.5,18.5
80.4,0.1,14.4,4.9,74.9,3.6,31.8
78.7,3.1,7.2,4.3,77.9,6.9,31.1
82.2,2.1,14.0,4.6,79.1,5.8,30.1
82.5,2.2,18.1,0.3,78.7,6.9,34.0
69.7,3.1,3.4,0.1,71.0,4.9,21.5
66.4,3.7,20.7,5.5,64.0,5.9,18.0
80.4,3.2,4.5,0.1,81.2,5.4,28.8
73.7,1.2,0.9,0.2,73.7,2.7,30.9
84.1,3.6,16.4,2.1,83.2,3.7,15.3
84.2,1.3,2.6,0.4,83.9,11.6,22.0
82.5,0.2,12.6,1.1,79.5,7.4,26.7
86.5,1.8,19.6,3.4,79.5,13.1,19.9
75.6,2.4,18.6,3.5,74.1,4.2,17.0
90.0,3.6,0.5,0.8,92.7,7.5,28.2
82.4,5.3,0.1,0.7,84.8,7.0,38.1
80.7,2.4,15.5,4.9,73.7,11.7,29.3
91.4,1.9,17.2,1.2,87.6,6.0,23.2
83.1,3.8,10.5,5.3,81.4,11.8,38.8
91.9,1.7,6.2,0.3,90.2,10.3,20.0
86.4,4.5,0.0,0.3,88.8,12.4,24.8
86.0,1.3,16.4,0.9,78.6,8.0,35.0
82.5,1.5,0.3,0.6,80.8,10.2,43.8
87.0,2.8,0.9,0.7,88.3,5.9,30.3
87.2,0.9,15.3,3.3,84.1,8.0,14.6
83.7,2.6,9.6,1.5,82.3,10.9,41.3
83.2,2.7,18.1,5.8,78.2,2.1,30.9
70.9,2.5,8.6,0.4,70.2,3.8,18.6
95.4,2.1,0.4,0.8,96.6,8.8,20.2
86.7,3.7,0.4,2.3,86.9,8.0,43.9
85.1,1.9,13.9,3.0,79.0,5.7,42.0
80.6,1.9,0.9,3.6,80.0,2.3,25.6
84.5,2.8,14.5,0.4,81.3,4.6,23.3
77.7,4.0,0.6,4.4,78.8,5.3,29.3
79.0,4.5,21.7,2.3,78.2,8.2,20.8
76.0,0.3,18.0,3.9,71.1,4.7,24.3
81.9,1.8,4.9,3.3,81.0,2.8,26.0
74.6,3.6,11.6,5.1,72.4,5.7,31.3
82.2,2.9,20.4,0.4,80.8,3.7,28.3
81.5,1.6,19.8,1.5,74.5,6.4,41.4
84.2,1.3,0.0,2.7,77.0,6.1,64.5
64.1,2.8,11.8,0.6,63.8,5.6,21.1
82.2,5.0,12.4,3.4,81.3,2.1,16.5
77.6,3.0,0.1,4.6,76.9,5.0,35.5
77.7,0.4,0.4,1.5,77.3,6.7,15.3
82.3,1.7,10.7,0.4,78.9,8.2,37.7
88.4,2.2,18.8,4.4,81.8,6.0,20.5
83.1,1.2,16.9,1.6,79.3,4.9,37.4
100.6,1.0,12.9,0.4,97.1,10.4,27.9
79.3,3.0,9.8,2.7,79.4,6.6,22.0
89.9,2.1,6.3,0.4,89.2,11.2,28.3
72.6,2.9,16.2,0.9,71.1,6.6,24.9
75.2,2.3,15.3,3.5,71.8,5.7,18.4
81.3,2.0,13.6,0.9,78.9,5.6,18.9
81.4,4.7,7.2,1.6,84.4,5.0,34.3
78.0,0.8,4.3,0.7,75.7,5.6,34.9
79.9,3.1,0.6,0.6,82.6,2.9,13.1
81.9,2.7,13.5,0.2,79.5,12.9,36.5
76.6,4.6,13.7,0.2,73.6,8.6,26.9
95.1,1.0,4.6,0.5,94.1,7.0,14.3
89.6,3.1,10.4,1.8,86.7,1.6,46.2
85.3,2.3,13.5,4.4,81.3,9.2,30.2
77.9,1.9,13.3,5.5,73.8,12.4,38.8
94.7,0.2,14.1,1.7,89.2,11.7,28.0
80.6,1.4,20.0,0.5,76.4,5.7,13.7
67.6,3.2,12.2,1.3,66.1,7.2,20.8
88.7,3.8,8.9,0.5,88.4,2.9,31.3
86.0,2.1,19.7,0.5,82.8,10.2,27.4
83.1,2.7,15.9,0.2,79.1,7.3,36.8
70.7,1.7,11.9,3.7,67.7,9.9,30.2
83.4,2.7,18.2,1.6,79.6,4.8,24.0
80.6,2.1,5.9,0.9,81.2,7.0,26.8
75.0,0.1,0.7,1.3,74.2,6.4,22.7
78.6,1.8,22.0,0.6,74.1,3.7,22.8
84.3,2.3,0.3,1.4,82.6,4.6,39.9
77.4,3.0,1.2,0.4,79.1,8.9,22.3
83.6,2.2,20.4,0.3,76.5,5.4,20.6
80.9,2.0,4.8,0.9,80.3,4.7,32.6
86.0,4.7,4.3,4.9,88.1,8.9,29.5
89.3,4.4,8.8,0.7,90.5,4.8,24.0
77.3,2.1,8.6,0.2,75.5,10.7,30.7
77.4,4.5,2.4,4.0,78.2,5.7,31.1
82.7,1.6,2.3,2.9,82.0,3.5,29.2
83.8,1.6,3.3,0.4,83.4,4.0,36.8
83.9,2.9,2.0,1.6,84.6,3.7,16.2
70.7,5.4,5.7,3.6,72.9,2.7,33.1
80.1,3.2,0.4,5.1,82.4,6.3,15.3
85.2,3.6,6.9,5.6,85.0,5.2,16.9
80.4,2.9,21.2,1.0,77.9,3.6,20.6
80.3,1.8,5.1,1.6,77.0,4.2,45.8
87.6,2.3,21.8,2.0,78.5,9.4,22.9
87.7,1.9,17.2,1.2,83.4,7.1,24.4
86.3,2.1,0.8,4.8,86.5,5.5,18.6
85.1,1.8,11.1,2.3,82.4,3.0,35.1
90.3,1.5,0.3,1.8,88.0,4.7,46.6
83.7,2.4,21.3,1.3,78.0,10.4,33.8
64.2,2.6,6.9,2.0,63.3,5.1,15.3
73.8,2.2,4.6,2.5,69.8,5.1,45.9
77.9,1.5,17.7,2.2,73.2,6.4,36.9
83.6,3.4,8.5,0.4,84.0,4.0,37.8
71.0,5.1,20.7,4.5,65.1,10.9,34.9
97.9,1.2,3.8,0.5,96.3,4.6,37.9
67.3,5.3,0.1,5.3,67.6,10.9,44.7
82.0,2.6,2.6,5.3,81.4,9.7,15.3
68.9,2.4,17.3,1.3,65.6,4.1,22.2
77.1,1.7,18.2,1.3,73.0,7.8,30.0
84.1,5.3,10.8,4.7,82.0,6.4,43.4
77.2,1.3,13.2,2.0,71.8,11.8,30.2
87.9,1.0,13.0,0.4,84.8,10.0,23.9
74.9,1.1,14.3,1.4,70.7,4.6,20.2
77.4,3.0,7.2,5.5,78.4,6.3,20.6
82.8,3.0,0.5,0.8,83.4,11.4,16.8
80.5,2.8,15.5,1.9,77.6,6.1,26.3
72.6,1.4,20.9,5.7,67.5,2.3,19.4
83.0,1.7,0.0,4.9,81.9,9.3,33.3
76.1,1.0,1.8,1.6,75.6,7.1,17.0
72.3,2.8,17.2,3.4,68.4,2.8,40.1
78.0,0.4,2.6,4.6,76.5,7.0,23.5
91.7,3.0,18.4,4.4,85.8,10.4,32.1
97.9,1.6,19.1,0.4,94.6,6.2,27.4
89.8,3.5,9.8,0.6,90.7,7.5,20.5
83.0,3.5,10.4,0.6,81.6,8.8,25.9
87.2,1.7,0.3,1.5,88.1,2.2,16.3
83.8,1.7,1.4,0.4,82.5,6.5,38.4
75.1,3.3,11.0,0.3,72.1,4.5,45.0
86.0,3.2,0.2,4.8,88.4,0.8,24.7
89.3,1.8,5.6,1.3,88.3,4.8,27.7
74.1,1.9,20.2,0.9,71.0,3.9,21.0
81.9,1.4,1.0,5.9,81.1,9.4,18.7
76.9,3.1,17.7,0.3,73.4,13.2,20.4
85.8,5.1,4.1,4.2,87.0,2.8,19.1
83.0,4.5,18.4,1.3,79.1,7.9,17.7
91.6,4.0,13.7,0.8,89.3,8.6,20.6
86.5,0.7,4.1,0.5,84.8,5.0,34.6
78.4,1.8,10.1,0.3,76.8,9.2,19.7
75.1,1.0,11.1,1.6,70.6,6.2,33.4
79.1,2.4,3.3,2.0,79.8,4.1,26.5
79.5,2.4,4.3,5.2,73.2,9.0,52.5
96.0,1.4,10.0,0.9,93.3,6.1,35.4
95.8,3.9,0.2,3.5,97.5,3.9,40.3
74.5,0.7,3.4,0.3,73.0,8.7,28.1
79.6,4.0,1.7,5.2,79.2,3.0,29.3
89.5,4.2,12.8,4.5,85.5,12.2,41.4
70.1,1.6,3.6,3.2,70.0,10.4,25.6
93.6,1.5,20.0,0.4,89.9,8.3,32.5
83.3,1.6,8.7,0.3,80.5,11.1,23.6
84.9,1.8,0.5,5.2,84.0,6.3,25.7
91.8,4.5,13.4,2.6,92.0,10.4,42.2
78.8,2.0,13.4,1.6,75.0,7.6,32.6
84.2,4.0,14.8,2.6,83.2,2.6,17.7
100.1,2.0,20.0,1.1,94.7,4.9,22.5
90.2,3.4,21.8,0.4,87.4,8.0,29.2
89.3,1.7,17.7,5.2,84.3,7.9,21.5
64.6,4.5,7.2,4.3,64.3,7.6,39.9
102.1,2.5,19.3,0.8,99.6,8.3,26.2
94.3,0.8,10.3,3.9,87.9,10.1,51.0
81.4,4.0,16.3,3.8,76.7,7.0,37.6
76.6,3.9,17.6,4.9,70.8,10.3,21.9
84.9,1.8,7.9,4.0,81.8,7.0,35.4
85.6,2.8,16.5,4.3,82.2,6.4,25.5
83.0,3.2,8.7,4.3,80.3,10.0,31.2
81.6,0.9,16.7,1.9,75.8,6.6,37.2
93.3,1.6,0.3,0.4,94.5,4.1,29.9
77.1,5.3,7.5,0.7,76.3,5.7,42.1
72.8,3.0,5.0,1.2,72.2,10.5,28.7
77.3,3.9,10.0,0.0,76.4,4.8,34.6
85.4,2.2,16.4,0.6,82.1,11.0,34.7
75.8,3.0,1.1,0.3,77.6,3.8,22.9
91.6,1.1,15.4,2.1,87.7,1.2,32.7
80.9,1.1,4.7,0.6,79.7,3.6,35.2
92.7,1.3,0.2,0.9,92.9,5.8,24.6
81.8,3.3,2.0,1.0,83.2,6.0,25.5
78.5,2.5,19.2,0.5,73.6,7.7,40.1
98.9,2.2,6.3,3.5,96.8,2.0,35.7
79.1,4.0,5.9,1.4,80.9,1.7,28.4
72.9,3.1,3.1,4.0,74.6,4.3,26.9
77.0,1.6,14.0,0.5,73.5,5.1,23.1
76.1,3.8,9.6,4.4,76.2,3.5,21.5
65.6,3.0,5.4,1.7,65.9,6.0,19.5
86.3,4.1,7.8,2.0,88.6,0.9,25.0
83.6,0.9,0.5,0.4,83.9,2.6,18.1
82.7,2.2,19.2,1.6,80.3,6.0,24.1
82.4,1.6,20.0,5.1,76.0,2.8,38.3
77.3,3.9,18.4,0.4,75.8,8.0,38.0
70.1,5.4,16.7,0.1,73.5,10.1,29.9
80.5,1.8,8.2,1.2,79.8,7.9,12.8
89.3,4.3,2.4,0.1,90.9,5.5,22.6
93.4,2.6,12.9,0.4,91.0,7.7,16.7
80.7,2.1,20.4,0.7,75.1,2.4,23.7
79.0,3.3,3.3,2.1,79.3,5.6,25.4
84.7,3.5,0.4,1.4,87.3,3.7,24.9
80.5,3.1,18.0,0.5,78.7,8.7,25.0
68.8,1.7,5.7,5.5,67.2,5.4,31.0
85.0,2.4,19.3,2.6,79.3,8.4,21.6
79.7,3.8,8.9,1.0,80.4,8.3,31.0
77.9,2.6,15.9,5.5,72.4,5.8,28.7
76.2,2.9,21.3,1.7,68.3,5.8,48.7
85.2,2.0,13.0,2.8,83.8,2.9,21.5
79.6,1.8,16.8,4.5,74.8,5.5,18.5
89.7,0.9,0.0,0.6,89.1,7.8,31.4
91.7,0.9,10.2,1.0,89.4,5.2,22.0
87.3,2.6,21.7,1.0,83.5,6.6,22.9
90.3,4.5,18.8,2.1,87.6,6.8,20.5
76.2,2.4,14.0,0.4,71.1,10.5,36.6
86.6,1.4,1.8,4.7,85.6,6.5,26.1
78.4,2.0,17.1,3.9,74.8,4.9,32.9
77.8,1.4,21.4,1.1,73.6,4.8,27.2
74.9,2.7,0.6,1.7,76.9,4.0,17.0
98.3,4.5,22.0,0.4,96.3,3.9,19.4
68.3,3.3,1.5,4.1,69.2,5.5,35.7
79.1,2.5,19.7,4.2,72.9,6.5,24.7
77.3,3.2,4.7,2.5,77.7,5.0,23.2
80.3,1.7,19.1,0.8,76.4,7.6,20.2
64.5,2.5,10.8,3.8,59.7,6.3,36.6
78.0,4.4,14.3,4.4,72.3,11.1,30.1
89.1,1.3,6.3,3.6,87.1,11.9,31.0
91.3,3.3,14.2,0.4,89.7,8.6,22.1
68.3,1.5,19.1,4.4,63.1,9.9,17.3
74.3,3.0,6.9,4.9,73.0,5.5,25.0
86.0,2.6,14.4,1.8,82.8,3.9,36.2
76.0,2.8,1.1,0.5,76.4,6.1,28.9
86.1,2.9,15.6,0.7,82.3,4.8,16.7
69.6,1.2,13.9,0.7,64.8,11.4,21.8
91.9,1.7,15.5,0.5,83.5,7.5,54.3
91.9,3.8,0.0,0.5,93.2,6.7,30.1
78.6,3.7,11.5,4.0,76.9,10.3,16.7
89.0,2.4,21.9,0.4,83.1,6.4,28.2
84.9,1.6,17.0,1.4,81.9,5.5,22.6
94.9,2.9,9.1,3.9,95.2,7.4,25.0
83.6,2.1,11.7,0.2,80.3,9.7,15.8
79.5,1.2,16.3,3.2,73.6,5.8,23.0
85.1,4.8,0.3,2.4,87.1,3.2,36.8
92.7,3.0,9.2,0.4,92.5,8.0,33.2
81.2,3.4,2.8,0.7,81.8,7.0,39.4
83.1,1.2,7.1,0.7,80.9,11.7,23.5
79.3,3.1,13.4,3.6,75.1,11.6,34.6
82.5,2.4,18.7,5.1,80.8,6.7,34.2
78.0,2.6,0.2,0.8,79.0,8.8,26.0
81.9,1.7,11.0,1.3,77.9,9.6,31.5
88.1,0.7,19.5,0.9,,3.0,46.4
94.5,3.4,13.4,1.2,92.3,9.4,31.6
76.6,1.5,8.0,1.4,75.7,5.0,15.7
85.6,3.8,15.5,3.9,83.5,7.0,20.9
82.3,1.6,18.3,0.2,79.2,2.6,30.0
86.7,3.0,8.7,0.5,85.4,3.2,32.6
100.5,1.4,10.4,1.0,94.6,9.8,48.7
81.7,1.4,0.8,3.0,80.7,7.6,26.2
70.3,1.7,1.1,3.5,68.7,6.7,35.5
84.5,2.2,10.1,0.6,81.9,8.1,26.1
84.3,1.7,10.4,0.4,82.2,10.7,26.4
85.5,2.8,2.3,3.9,84.1,4.5,39.8
81.7,2.6,10.7,1.9,79.4,2.2,24.8
88.3,4.8,11.8,4.7,87.8,3.0,28.2
71.8,1.5,3.0,5.1,70.8,5.1,22.0
85.5,2.6,10.2,0.4,84.7,5.6,23.3
88.1,4.5,18.4,5.8,85.4,7.7,34.5
74.3,1.0,10.7,1.0,71.7,5.3,26.3
86.2,2.6,1.1,5.0,86.4,6.9,22.8
81.8,2.9,15.1,1.9,73.6,7.8,53.5
87.2,2.2,1.0,3.4,87.1,7.4,20.7
90.0,5.4,0.2,1.4,92.6,10.0,37.6
77.2,2.5,18.5,0.9,73.0,11.8,16.1
73.5,4.0,16.9,0.2,71.4,3.9,20.5
73.6,0.5,0.0,4.7,71.7,9.2,27.7
78.1,1.8,8.3,1.6,76.2,4.2,34.4
79.8,1.1,1.0,1.0,79.6,7.5,17.2
64.3,2.8,0.1,0.8,65.7,7.7,27.7
78.5,1.6,1.2,1.8,78.1,3.7,40.2
82.5,1.7,1.0,1.1,82.5,8.1,26.2
77.7,0.2,9.7,4.3,73.6,2.6,19.7
83.2,1.9,15.1,1.2,80.1,10.5,31.9
95.9,1.1,3.0,5.7,94.5,2.4,25.9
85.9,3.6,11.1,0.8,83.5,4.6,29.6
76.7,0.9,13.0,0.4,72.4,6.9,42.0
83.3,1.7,11.9,1.0,80.5,11.6,26.2
88.6,2.7,8.2,0.2,85.6,6.9,42.3
75.8,2.6,18.1,0.6,72.3,1.7,21.6
91.4,1.0,0.4,3.8,90.7,7.7,16.4
90.8,1.5,6.4,4.8,88.9,4.6,21.9
93.8,2.2,7.1,5.9,91.9,11.6,32.0
82.6,1.8,10.7,1.3,81.8,6.4,21.6
80.1,3.5,18.2,1.0,75.8,8.0,22.0
66.1,1.4,6.6,3.5,64.0,7.6,35.7
80.2,1.5,2.9,3.5,78.9,3.0,19.7
74.6,2.2,19.1,0.9,69.9,8.0,41.9
84.4,2.3,4.3,0.5,84.0,6.3,19.6
85.9,1.8,4.6,0.3,86.2,4.0,24.5
85.3,1.5,4.6,4.8,82.9,6.8,34.3
95.9,4.3,7.5,2.7,97.3,4.7,29.9
78.1,3.5,16.1,2.4,76.9,5.6,44.3
74.3,3.0,17.6,3.2,71.2,6.9,13.5
86.0,0.3,0.1,5.5,83.7,5.0,26.9
75.9,3.5,19.7,4.0,71.4,8.6,37.8
81.0,1.6,10.3,0.8,78.3,4.6,31.2
85.8,1.9,10.9,4.0,82.5,7.9,34.8
83.4,1.4,1.5,3.8,82.2,10.2,38.5
87.6,2.4,3.9,2.2,87.0,6.2,17.6
82.0,1.3,17.2,,75.3,1.2,18.3
81.4,3.1,21.0,2.0,77.1,6.0,31.0
75.5,1.8,12.8,3.8,71.4,6.4,35.5
80.0,1.6,20.5,0.7,75.5,7.1,17.3
76.4,2.3,14.7,0.7,74.3,3.6,19.2
92.4,1.7,20.9,1.4,85.5,6.1,41.5
78.0,3.6,5.9,1.1,77.3,2.0,33.5
86.4,4.5,1.1,0.3,88.1,5.6,23.4
84.6,1.9,16.9,4.4,80.5,4.8,33.3
84.9,2.3,21.5,1.0,78.8,4.9,22.2
79.9,2.5,12.6,1.5,77.1,7.8,31.2
84.1,4.2,20.5,0.2,80.6,11.5,49.7
74.8,1.0,13.4,2.5,69.8,1.8,32.7
76.1,2.5,13.9,5.3,75.4,8.5,32.3
74.3,3.7,0.1,0.4,76.2,7.0,26.3
73.4,4.4,11.6,0.4,74.9,3.8,19.0
81.3,2.1,17.3,1.2,74.8,9.2,30.5
73.6,2.9,19.1,1.6,69.5,9.8,21.5
93.9,4.7,5.6,2.7,95.2,6.0,34.6
98.1,2.8,21.9,2.1,91.9,5.6,18.5
81.1,3.2,18.8,0.4,73.2,3.5,48.0
92.5,1.5,0.7,1.2,92.3,12.9,25.3
86.0,1.4,16.4,2.7,82.1,8.5,21.4
70.2,2.2,0.2,0.0,71.1,4.6,24.7
74.7,1.8,0.1,5.0,75.2,4.4,16.5
80.9,2.5,3.4,1.2,80.2,9.0,29.6
71.6,2.8,1.1,0.5,72.8,9.2,17.1
77.0,3.5,0.3,0.5,78.9,3.3,16.7
77.2,4.7,8.6,3.1,77.3,6.5,33.7
86.7,4.1,19.5,4.7,77.8,12.9,30.1
82.1,1.6,20.1,0.5,75.6,7.8,29.5
83.5,2.3,11.4,0.4,81.1,8.0,27.8
79.6,1.7,0.2,0.9,80.7,6.0,16.9
86.3,4.8,12.7,0.1,86.6,9.4,36.9
102.1,1.2,0.3,4.1,100.9,9.0,30.9
89.7,2.7,19.1,0.8,81.8,5.6,53.3
92.9,0.2,20.8,5.2,79.9,7.5,57.0
84.7,0.6,19.7,0.7,78.6,6.9,23.1
82.6,2.9,3.3,3.8,82.9,4.8,16.7
89.1,2.4,8.5,0.6,87.5,7.5,17.7
82.5,1.5,10.5,0.2,80.7,8.4,21.8
90.6,1.0,9.2,5.7,84.9,7.5,39.5
79.4,5.4,17.2,2.2,75.3,8.2,35.9
69.2,2.9,20.9,0.8,65.9,4.7,22.3
75.6,2.9,8.5,5.0,73.3,2.4,23.1
80.7,4.0,7.5,1.4,79.7,4.3,26.7
85.8,3.3,0.1,4.1,86.4,3.5,27.1
71.0,1.4,0.2,4.8,69.2,9.2,39.6
72.1,3.6,4.2,0.5,71.1,11.0,38.7
