(1) Schlüsselzahl (Schl.) der Tat;(2) Straftat;(3) Geschlecht;(4) Tatverdächtige insgesamt;(5) Kinder bis unter 6 Jahre;(6) Kinder 6  bis unter 8 ;(7) Kinder 8  bis unter 10;(8) Kinder 10  bis unter 12;(9) Kinder 12  bis unter 14;(10) Kinder insgesamt ;(11) Jugendliche 14 bis unter 16;(12) Jugendliche 16  bis unter 18;(13) Jugendliche insgesamt;(13a) Minderjährige insgesamt;(14) Heranwachsende;(15) Insgesamt bis unter 21 Jahre;(16) Erwachsene 21 bis unter 23;(17) Erwachsene 23  bis unter 25;(18) Erwachsene 21 bis unter 25;(19) Erwachsene 25  bis unter 30;(20) Erwachsene 30  bis unter 40;(21) Erwachsene 40  bis unter 50;(22) Erwachsene 50  bis unter 60;(23) Erwachsene 60  und mehr Jahre;(24) Erwachsene insgesamt
300000;Sonstiger Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB;W;332;0;3;0;9;11;23;20;23;43;66;17;83;7;15;22;21;55;58;47;46;249
300000;Sonstiger Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB;M;1.194;0;2;9;21;26;58;75;84;159;217;128;345;56;49;105;118;234;164;117;111;849
300000;Sonstiger Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB;G;1.526;0;5;9;30;37;81;95;107;202;283;145;428;63;64;127;139;289;222;164;157;1.098
300010;Sonstiger Diebstahl ohne erschwerende Umstände;W;300;0;3;0;9;11;23;20;23;43;66;15;81;7;13;20;20;46;50;41;42;219
300010;Sonstiger Diebstahl ohne erschwerende Umstände;M;1.093;0;2;9;21;26;58;71;81;152;210;124;334;51;45;96;106;211;149;99;98;759
300010;Sonstiger Diebstahl ohne erschwerende Umstände;G;1.393;0;5;9;30;37;81;91;104;195;276;139;415;58;58;116;126;257;199;140;140;978
300040;Unbefugter Gebrauch eines sonstigen Fahrzeuges;W;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2
300040;Unbefugter Gebrauch eines sonstigen Fahrzeuges;M;23;0;0;0;0;0;0;4;4;8;8;3;11;3;0;3;4;4;1;0;0;12
300040;Unbefugter Gebrauch eines sonstigen Fahrzeuges;G;25;0;0;0;0;0;0;4;4;8;8;3;11;3;0;3;4;5;1;0;1;14
300050;Entziehung elektrischer Energie;W;30;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;1;8;8;6;3;28
300050;Entziehung elektrischer Energie;M;83;0;0;0;0;0;0;0;0;0;0;2;2;3;4;7;8;20;15;18;13;81
300050;Entziehung elektrischer Energie;G;113;0;0;0;0;0;0;0;0;0;0;4;4;3;6;9;9;28;23;24;16;109
3,00E+100;Diebstahl ohne erschwerende Umstände von Kraftwagen einschl. unbefugter Ingebrauchnahme;W;16;0;0;0;0;0;0;1;0;1;1;1;2;0;0;0;2;4;4;4;0;14
3,00E+100;Diebstahl ohne erschwerende Umstände von Kraftwagen einschl. unbefugter Ingebrauchnahme;M;124;0;0;0;0;5;5;9;12;21;26;18;44;3;8;11;17;22;17;12;1;80
3,00E+100;Diebstahl ohne erschwerende Umstände von Kraftwagen einschl. unbefugter Ingebrauchnahme;G;140;0;0;0;0;5;5;10;12;22;27;19;46;3;8;11;19;26;21;16;1;94
300100;Diebstahl ohne erschwerende Umstände von Kraftwagen einschl. unbefugter Ingebrauchnahme;W;15;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;2;4;4;4;0;14
300100;Diebstahl ohne erschwerende Umstände von Kraftwagen einschl. unbefugter Ingebrauchnahme;M;113;0;0;0;0;4;4;8;12;20;24;17;41;3;8;11;17;19;14;11;0;72
300100;Diebstahl ohne erschwerende Umstände von Kraftwagen einschl. unbefugter Ingebrauchnahme;G;128;0;0;0;0;4;4;9;12;21;25;17;42;3;8;11;19;23;18;15;0;86
300110;Diebstahl ohne erschwerende Umstände von Kraftwagen;W;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;4
300110;Diebstahl ohne erschwerende Umstände von Kraftwagen;M;35;0;0;0;0;2;2;1;2;3;5;6;11;0;3;3;4;6;5;6;0;24
300110;Diebstahl ohne erschwerende Umstände von Kraftwagen;G;39;0;0;0;0;2;2;1;2;3;5;6;11;0;3;3;5;7;5;8;0;28
300140;Diebstahl ohne erschwerende Umstände  - Unbefugter Gebrauch von Kraftwagen;W;11;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;3;4;2;0;10
300140;Diebstahl ohne erschwerende Umstände  - Unbefugter Gebrauch von Kraftwagen;M;79;0;0;0;0;3;3;7;10;17;20;11;31;3;5;8;13;13;9;5;0;48
300140;Diebstahl ohne erschwerende Umstände  - Unbefugter Gebrauch von Kraftwagen;G;90;0;0;0;0;3;3;8;10;18;21;11;32;3;5;8;14;16;13;7;0;58
3,00E+200;Diebstahl ohne erschwerende Umstände von Mopeds und Krafträdern einschl. unbefugter Ingebrauchnahme;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,00E+200;Diebstahl ohne erschwerende Umstände von Mopeds und Krafträdern einschl. unbefugter Ingebrauchnahme;M;42;0;0;0;0;2;2;7;12;19;21;4;25;4;1;5;1;6;3;2;0;17
3,00E+200;Diebstahl ohne erschwerende Umstände von Mopeds und Krafträdern einschl. unbefugter Ingebrauchnahme;G;42;0;0;0;0;2;2;7;12;19;21;4;25;4;1;5;1;6;3;2;0;17
300200;Diebstahl ohne erschwerende Umstände von Mopeds und Krafträdern einschl. unbefugter Ingebrauchnahme;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
300200;Diebstahl ohne erschwerende Umstände von Mopeds und Krafträdern einschl. unbefugter Ingebrauchnahme;M;41;0;0;0;0;2;2;7;12;19;21;4;25;4;0;4;1;6;3;2;0;16
300200;Diebstahl ohne erschwerende Umstände von Mopeds und Krafträdern einschl. unbefugter Ingebrauchnahme;G;41;0;0;0;0;2;2;7;12;19;21;4;25;4;0;4;1;6;3;2;0;16
300210;Diebstahl ohne erschwerende Umstände von Mopeds und Krafträdern;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
300210;Diebstahl ohne erschwerende Umstände von Mopeds und Krafträdern;M;34;0;0;0;0;2;2;6;9;15;17;2;19;4;0;4;1;6;3;1;0;15
300210;Diebstahl ohne erschwerende Umstände von Mopeds und Krafträdern;G;34;0;0;0;0;2;2;6;9;15;17;2;19;4;0;4;1;6;3;1;0;15
300240;Diebstahl ohne erschwerende Umstände - Unbefugter Gebrauch von Mopeds und Krafträdern;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
300240;Diebstahl ohne erschwerende Umstände - Unbefugter Gebrauch von Mopeds und Krafträdern;M;7;0;0;0;0;0;0;1;3;4;4;2;6;0;0;0;0;0;0;1;0;1
300240;Diebstahl ohne erschwerende Umstände - Unbefugter Gebrauch von Mopeds und Krafträdern;G;7;0;0;0;0;0;0;1;3;4;4;2;6;0;0;0;0;0;0;1;0;1
3,00E+300;Diebstahl ohne erschwerende Umstände von Fahrrädern einschl. unbefugter Ingebrauchnahme;W;46;0;1;3;1;6;11;8;3;11;22;3;25;1;0;1;2;6;4;5;3;21
3,00E+300;Diebstahl ohne erschwerende Umstände von Fahrrädern einschl. unbefugter Ingebrauchnahme;M;340;1;0;1;7;18;27;31;27;58;85;35;120;22;13;35;36;80;39;20;10;220
3,00E+300;Diebstahl ohne erschwerende Umstände von Fahrrädern einschl. unbefugter Ingebrauchnahme;G;386;1;1;4;8;24;38;39;30;69;107;38;145;23;13;36;38;86;43;25;13;241
300300;Diebstahl ohne erschwerende Umstände von Fahrrädern einschl. unbefugter Ingebrauchnahme;W;42;0;1;3;1;5;10;8;3;11;21;3;24;1;0;1;2;5;3;4;3;18
300300;Diebstahl ohne erschwerende Umstände von Fahrrädern einschl. unbefugter Ingebrauchnahme;M;315;1;0;1;7;16;25;29;26;55;80;33;113;20;11;31;34;77;33;18;9;202
300300;Diebstahl ohne erschwerende Umstände von Fahrrädern einschl. unbefugter Ingebrauchnahme;G;357;1;1;4;8;21;35;37;29;66;101;36;137;21;11;32;36;82;36;22;12;220
300310;Diebstahl ohne erschwerende Umstände von Fahrrädern;W;30;0;1;3;1;3;8;4;1;5;13;1;14;1;0;1;1;5;2;4;3;16
300310;Diebstahl ohne erschwerende Umstände von Fahrrädern;M;293;1;0;1;6;16;24;26;22;48;72;29;101;19;8;27;33;75;32;17;8;192
300310;Diebstahl ohne erschwerende Umstände von Fahrrädern;G;323;1;1;4;7;19;32;30;23;53;85;30;115;20;8;28;34;80;34;21;11;208
300340;Diebstahl ohne erschwerende Umstände - Unbefugter Gebrauch von Fahrrädern;W;12;0;0;0;0;2;2;4;2;6;8;2;10;0;0;0;1;0;1;0;0;2
300340;Diebstahl ohne erschwerende Umstände - Unbefugter Gebrauch von Fahrrädern;M;23;0;0;0;1;0;1;3;4;7;8;5;13;1;3;4;1;2;1;1;1;10
300340;Diebstahl ohne erschwerende Umstände - Unbefugter Gebrauch von Fahrrädern;G;35;0;0;0;1;2;3;7;6;13;16;7;23;1;3;4;2;2;2;1;1;12
3**400;Diebstahl ohne erschwerende Umstände von Schusswaffen;W;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
3**400;Diebstahl ohne erschwerende Umstände von Schusswaffen;M;7;0;0;0;0;0;0;1;0;1;1;1;2;1;1;2;0;2;1;0;0;5
3**400;Diebstahl ohne erschwerende Umstände von Schusswaffen;G;8;0;0;0;0;0;0;1;0;1;1;2;3;1;1;2;0;2;1;0;0;5
300400;Diebstahl ohne erschwerende Umstände von Schusswaffen;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
300400;Diebstahl ohne erschwerende Umstände von Schusswaffen;M;3;0;0;0;0;0;0;1;0;1;1;1;2;0;0;0;0;1;0;0;0;1
300400;Diebstahl ohne erschwerende Umstände von Schusswaffen;G;3;0;0;0;0;0;0;1;0;1;1;1;2;0;0;0;0;1;0;0;0;1
3**500;Diebstahl ohne erschwerende Umstände von unbaren Zahlungsmitteln;W;48;0;0;0;0;6;6;5;4;9;15;6;21;1;2;3;2;10;7;2;3;27
3**500;Diebstahl ohne erschwerende Umstände von unbaren Zahlungsmitteln;M;83;0;0;0;0;0;0;5;5;10;10;4;14;7;2;9;10;28;14;4;4;69
3**500;Diebstahl ohne erschwerende Umstände von unbaren Zahlungsmitteln;G;131;0;0;0;0;6;6;10;9;19;25;10;35;8;4;12;12;38;21;6;7;96
300500;Diebstahl ohne erschwerende Umstände von unbaren Zahlungsmitteln;W;15;0;0;0;0;1;1;2;2;4;5;1;6;0;2;2;1;2;4;0;0;9
300500;Diebstahl ohne erschwerende Umstände von unbaren Zahlungsmitteln;M;26;0;0;0;0;0;0;3;2;5;5;2;7;2;1;3;3;9;2;1;1;19
300500;Diebstahl ohne erschwerende Umstände von unbaren Zahlungsmitteln;G;41;0;0;0;0;1;1;5;4;9;10;3;13;2;3;5;4;11;6;1;1;28
3**700;Diebstahl ohne erschwerende Umstände von/aus Automaten;W;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
3**700;Diebstahl ohne erschwerende Umstände von/aus Automaten;M;15;0;0;0;0;0;0;0;1;1;1;2;3;1;1;2;1;6;1;0;2;12
3**700;Diebstahl ohne erschwerende Umstände von/aus Automaten;G;16;0;0;0;0;0;0;0;1;1;1;2;3;1;1;2;1;6;1;1;2;13
300700;Diebstahl ohne erschwerende Umstände von/aus Automaten;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
300700;Diebstahl ohne erschwerende Umstände von/aus Automaten;M;6;0;0;0;0;0;0;0;1;1;1;1;2;1;0;1;1;2;0;0;0;4
300700;Diebstahl ohne erschwerende Umstände von/aus Automaten;G;6;0;0;0;0;0;0;0;1;1;1;1;2;1;0;1;1;2;0;0;0;4
3**800;Diebstahl ohne erschwerende Umstände von Antiquitäten, Kunstgegenständen und sakralen Gegenständen;W;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;3
3**800;Diebstahl ohne erschwerende Umstände von Antiquitäten, Kunstgegenständen und sakralen Gegenständen;M;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;1;6
3**800;Diebstahl ohne erschwerende Umstände von Antiquitäten, Kunstgegenständen und sakralen Gegenständen;G;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;2;9
300800;Diebstahl ohne erschwerende Umstände von Antiquitäten, Kunst- und sakralen Gegenständen;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
300800;Diebstahl ohne erschwerende Umstände von Antiquitäten, Kunst- und sakralen Gegenständen;M;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
300800;Diebstahl ohne erschwerende Umstände von Antiquitäten, Kunst- und sakralen Gegenständen;G;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
305*00;Diebstahl ohne erschwerende Umstände in/aus Banken, Sparkassen, Postfilialen und Postagenturen und dgl.;W;10;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1;1;0;5;10
305*00;Diebstahl ohne erschwerende Umstände in/aus Banken, Sparkassen, Postfilialen und Postagenturen und dgl.;M;29;0;0;0;0;0;0;0;0;0;0;2;2;2;4;6;2;4;6;3;6;27
305*00;Diebstahl ohne erschwerende Umstände in/aus Banken, Sparkassen, Postfilialen und Postagenturen und dgl.;G;39;0;0;0;0;0;0;0;0;0;0;2;2;3;5;8;3;5;7;3;11;37
305000;Sonstiger Diebstahl ohne erschwerende Umstände in/aus Banken, Sparkassen, Postfilialen und -agenturen und dgl.;W;10;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1;1;0;5;10
305000;Sonstiger Diebstahl ohne erschwerende Umstände in/aus Banken, Sparkassen, Postfilialen und -agenturen und dgl.;M;27;0;0;0;0;0;0;0;0;0;0;2;2;2;4;6;2;3;5;3;6;25
305000;Sonstiger Diebstahl ohne erschwerende Umstände in/aus Banken, Sparkassen, Postfilialen und -agenturen und dgl.;G;37;0;0;0;0;0;0;0;0;0;0;2;2;3;5;8;3;4;6;3;11;35
305500;Diebstahl ohne erschwerende Umstände in/aus Banken, Sparkassen, Postfilialen und -agenturen und dgl. von unbaren Zahlungsmitteln;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
305500;Diebstahl ohne erschwerende Umstände in/aus Banken, Sparkassen, Postfilialen und -agenturen und dgl. von unbaren Zahlungsmitteln;M;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2
305500;Diebstahl ohne erschwerende Umstände in/aus Banken, Sparkassen, Postfilialen und -agenturen und dgl. von unbaren Zahlungsmitteln;G;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2
310*00;Diebstahl ohne erschwerende Umstände in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen;W;38;0;0;0;0;0;0;0;2;2;2;3;5;1;2;3;4;11;6;6;3;33
310*00;Diebstahl ohne erschwerende Umstände in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen;M;211;0;1;5;4;4;14;9;10;19;33;13;46;8;11;19;23;47;41;21;14;165
310*00;Diebstahl ohne erschwerende Umstände in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen;G;249;0;1;5;4;4;14;9;12;21;35;16;51;9;13;22;27;58;47;27;17;198
310000;Sonstiger Diebstahl ohne erschwerende Umstände in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen;W;36;0;0;0;0;0;0;0;2;2;2;3;5;1;2;3;4;10;6;5;3;31
310000;Sonstiger Diebstahl ohne erschwerende Umstände in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen;M;188;0;1;5;4;3;13;8;10;18;31;11;42;8;9;17;23;39;36;20;11;146
310000;Sonstiger Diebstahl ohne erschwerende Umstände in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen;G;224;0;1;5;4;3;13;8;12;20;33;14;47;9;11;20;27;49;42;25;14;177
310100;Diebstahl ohne erschwerende Umstände in/aus Dienst-, Büro-, Fabrikations-,  Werkstatt- und Lagerräumen von Kraftwagen;W;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
310100;Diebstahl ohne erschwerende Umstände in/aus Dienst-, Büro-, Fabrikations-,  Werkstatt- und Lagerräumen von Kraftwagen;M;11;0;0;0;0;1;1;1;0;1;2;1;3;0;0;0;0;3;3;1;1;8
310100;Diebstahl ohne erschwerende Umstände in/aus Dienst-, Büro-, Fabrikations-,  Werkstatt- und Lagerräumen von Kraftwagen;G;12;0;0;0;0;1;1;1;0;1;2;2;4;0;0;0;0;3;3;1;1;8
310200;Diebstahl ohne erschwerende Umstände in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen von Mopeds und Krafträdern;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310200;Diebstahl ohne erschwerende Umstände in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen von Mopeds und Krafträdern;M;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1
310200;Diebstahl ohne erschwerende Umstände in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen von Mopeds und Krafträdern;G;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1
310300;Diebstahl ohne erschwerende Umstände in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen von Fahrrädern;W;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
310300;Diebstahl ohne erschwerende Umstände in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen von Fahrrädern;M;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2
310300;Diebstahl ohne erschwerende Umstände in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen von Fahrrädern;G;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;3
310500;Diebstahl ohne erschwerende Umstände in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen von unbaren Zahlungsmitteln;W;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
310500;Diebstahl ohne erschwerende Umstände in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen von unbaren Zahlungsmitteln;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310500;Diebstahl ohne erschwerende Umstände in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen von unbaren Zahlungsmitteln;G;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
310700;Diebstahl ohne erschwerende Umstände in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen von/aus Automaten;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310700;Diebstahl ohne erschwerende Umstände in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen von/aus Automaten;M;7;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;4;0;0;1;6
310700;Diebstahl ohne erschwerende Umstände in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen von/aus Automaten;G;7;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;4;0;0;1;6
310800;Diebstahl ohne erschwerende Umstände in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen von Antiquitäten, Kunst- und sakralen Gegenständen;W;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
310800;Diebstahl ohne erschwerende Umstände in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen von Antiquitäten, Kunst- und sakralen Gegenständen;M;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;3
310800;Diebstahl ohne erschwerende Umstände in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen von Antiquitäten, Kunst- und sakralen Gegenständen;G;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;4
315*00;Diebstahl ohne erschwerende Umstände in/aus Gaststätten, Kantinen, Hotels und Pensionen;W;16;0;0;0;0;0;0;0;2;2;2;1;3;0;1;1;3;3;3;3;0;13
315*00;Diebstahl ohne erschwerende Umstände in/aus Gaststätten, Kantinen, Hotels und Pensionen;M;53;0;0;0;0;1;1;1;3;4;5;5;10;7;4;11;6;9;8;6;3;43
315*00;Diebstahl ohne erschwerende Umstände in/aus Gaststätten, Kantinen, Hotels und Pensionen;G;69;0;0;0;0;1;1;1;5;6;7;6;13;7;5;12;9;12;11;9;3;56
315000;Sonstiger Diebstahl ohne erschwerende Umstände in/aus Gaststätten, Kantinen, Hotels und Pensionen;W;14;0;0;0;0;0;0;0;2;2;2;1;3;0;1;1;3;3;2;2;0;11
315000;Sonstiger Diebstahl ohne erschwerende Umstände in/aus Gaststätten, Kantinen, Hotels und Pensionen;M;49;0;0;0;0;1;1;1;3;4;5;5;10;7;4;11;6;9;5;6;2;39
315000;Sonstiger Diebstahl ohne erschwerende Umstände in/aus Gaststätten, Kantinen, Hotels und Pensionen;G;63;0;0;0;0;1;1;1;5;6;7;6;13;7;5;12;9;12;7;8;2;50
315500;Diebstahl ohne erschwerende Umstände in/aus Gaststätten, Kantinen, Hotels und Pensionen von unbaren Zahlungsmitteln;W;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
315500;Diebstahl ohne erschwerende Umstände in/aus Gaststätten, Kantinen, Hotels und Pensionen von unbaren Zahlungsmitteln;M;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
315500;Diebstahl ohne erschwerende Umstände in/aus Gaststätten, Kantinen, Hotels und Pensionen von unbaren Zahlungsmitteln;G;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3
315700;Diebstahl ohne erschwerende Umstände in/aus Gaststätten, Kantinen, Hotels und Pensionen von/aus Automaten;W;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
315700;Diebstahl ohne erschwerende Umstände in/aus Gaststätten, Kantinen, Hotels und Pensionen von/aus Automaten;M;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2
315700;Diebstahl ohne erschwerende Umstände in/aus Gaststätten, Kantinen, Hotels und Pensionen von/aus Automaten;G;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3
325*00;Diebstahl ohne erschwerende Umstände in/aus Warenhäusern, Verkaufsräumen, Selbstbedienungsläden;W;2.478;3;6;32;87;262;390;282;162;444;834;108;942;80;65;145;173;346;257;249;366;1.536
325*00;Diebstahl ohne erschwerende Umstände in/aus Warenhäusern, Verkaufsräumen, Selbstbedienungsläden;M;4.253;3;15;45;96;208;367;292;241;533;900;265;1.165;172;159;331;449;888;615;412;393;3.088
325*00;Diebstahl ohne erschwerende Umstände in/aus Warenhäusern, Verkaufsräumen, Selbstbedienungsläden;G;6.731;6;21;77;183;470;757;574;403;977;1.734;373;2.107;252;224;476;622;1.234;872;661;759;4.624
325000;Sonstiger Diebstahl ohne erschwerende Umstände in/aus Kiosken, Warenhäusern, Verkaufsräumen, Selbstbedienungsläden, Schaufenstern, Schaukästen und Vitrinen ohne Ladendiebstahl;W;56;1;0;0;2;4;7;1;0;1;8;7;15;1;4;5;3;8;12;6;7;41
325000;Sonstiger Diebstahl ohne erschwerende Umstände in/aus Kiosken, Warenhäusern, Verkaufsräumen, Selbstbedienungsläden, Schaufenstern, Schaukästen und Vitrinen ohne Ladendiebstahl;M;128;0;0;1;0;7;8;6;8;14;22;6;28;7;6;13;16;34;17;12;8;100
325000;Sonstiger Diebstahl ohne erschwerende Umstände in/aus Kiosken, Warenhäusern, Verkaufsräumen, Selbstbedienungsläden, Schaufenstern, Schaukästen und Vitrinen ohne Ladendiebstahl;G;184;1;0;1;2;11;15;7;8;15;30;13;43;8;10;18;19;42;29;18;15;141
325300;Diebstahl ohne erschwerende Umstände in/aus Kiosken, Warenhäusern, Verkaufsräumen, Selbstbedienungsläden, Schaufenstern, Schaukästen und Vitrinen ohne Ladendiebstahl von Fahrrädern;W;2;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1
325300;Diebstahl ohne erschwerende Umstände in/aus Kiosken, Warenhäusern, Verkaufsräumen, Selbstbedienungsläden, Schaufenstern, Schaukästen und Vitrinen ohne Ladendiebstahl von Fahrrädern;M;13;0;0;0;0;2;2;1;1;2;4;1;5;0;2;2;1;2;2;1;0;8
325300;Diebstahl ohne erschwerende Umstände in/aus Kiosken, Warenhäusern, Verkaufsräumen, Selbstbedienungsläden, Schaufenstern, Schaukästen und Vitrinen ohne Ladendiebstahl von Fahrrädern;G;15;0;0;0;0;3;3;1;1;2;5;1;6;0;2;2;1;2;2;2;0;9
325500;Diebstahl ohne erschwerende Umstände in/aus Kiosken, Warenhäusern, Verkaufsräumen, Selbstbedienungsläden, Schaufenstern, Schaukästen und Vitrinen ohne Ladendiebstahl von unbaren Zahlungsmitteln;W;16;0;0;0;0;4;4;3;1;4;8;2;10;0;0;0;1;2;1;0;2;6
325500;Diebstahl ohne erschwerende Umstände in/aus Kiosken, Warenhäusern, Verkaufsräumen, Selbstbedienungsläden, Schaufenstern, Schaukästen und Vitrinen ohne Ladendiebstahl von unbaren Zahlungsmitteln;M;18;0;0;0;0;0;0;0;2;2;2;1;3;3;1;4;0;5;4;0;2;15
325500;Diebstahl ohne erschwerende Umstände in/aus Kiosken, Warenhäusern, Verkaufsräumen, Selbstbedienungsläden, Schaufenstern, Schaukästen und Vitrinen ohne Ladendiebstahl von unbaren Zahlungsmitteln;G;34;0;0;0;0;4;4;3;3;6;10;3;13;3;1;4;1;7;5;0;4;21
326*00;Ladendiebstahl ohne erschwerende Umstände;W;2.418;3;6;32;85;254;380;279;161;440;820;101;921;79;61;140;169;340;247;243;358;1.497
326*00;Ladendiebstahl ohne erschwerende Umstände;M;4.139;3;15;44;96;202;360;287;230;517;877;260;1.137;165;154;319;436;859;596;405;387;3.002
326*00;Ladendiebstahl ohne erschwerende Umstände;G;6.557;6;21;76;181;456;740;566;391;957;1.697;361;2.058;244;215;459;605;1.199;843;648;745;4.499
326000;Sonstiger Ladendiebstahl ohne erschwerende Umstände;W;2.418;3;6;32;85;254;380;279;161;440;820;101;921;79;61;140;169;340;247;243;358;1.497
326000;Sonstiger Ladendiebstahl ohne erschwerende Umstände;M;4.136;3;15;44;96;202;360;287;230;517;877;259;1.136;165;154;319;436;859;594;405;387;3.000
326000;Sonstiger Ladendiebstahl ohne erschwerende Umstände;G;6.554;6;21;76;181;456;740;566;391;957;1.697;360;2.057;244;215;459;605;1.199;841;648;745;4.497
326300;Ladendiebstahl ohne erschwerende Umstände von Fahrrädern;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
326300;Ladendiebstahl ohne erschwerende Umstände von Fahrrädern;M;5;0;0;0;0;0;0;0;0;0;0;1;1;2;0;2;0;0;2;0;0;4
